date,rpce,rdpi,,in billions of chained 2005 dollars
1/1/1959,1689.5,1876.8,,
1/2/1959,1707.3,1884.5,,
1/3/1959,1723.3,1896.6,,
1/4/1959,1717.3,1908.9,,
1/5/1959,1737.8,1920.5,,
1/6/1959,1744.3,1927.1,,
1/7/1959,1738.0,1923.1,,
1/8/1959,1748.6,1911.6,,
1/9/1959,1766.1,1911.8,,
1/10/1959,1753.8,1914.9,,
1/11/1959,1753.4,1929.1,,
1/12/1959,1751.0,1947.0,,
1/1/1960,1756.6,1954.4,,
1/2/1960,1763.7,1953.7,,
1/3/1960,1788.8,1955.4,,
1/4/1960,1817.1,1962.6,,
1/5/1960,1780.0,1966.3,,
1/6/1960,1779.4,1966.7,,
1/7/1960,1783.5,1967.8,,
1/8/1960,1781.5,1964.9,,
1/9/1960,1790.0,1967.9,,
1/10/1960,1798.4,1975.6,,
1/11/1960,1792.3,1966.2,,
1/12/1960,1770.9,1955.5,,
1/1/1961,1775.3,1975.8,,
1/2/1961,1781.5,1983.9,,
1/3/1961,1804.0,1991.6,,
1/4/1961,1804.5,1996.0,,
1/5/1961,1815.6,2011.2,,
1/6/1961,1820.1,2033.2,,
1/7/1961,1814.5,2040.4,,
1/8/1961,1821.0,2039.9,,
1/9/1961,1831.1,2042.3,,
1/10/1961,1842.4,2063.7,,
1/11/1961,1860.4,2083.8,,
1/12/1961,1873.2,2095.5,,
1/1/1962,1873.7,2089.2,,
1/2/1962,1873.1,2099.6,,
1/3/1962,1888.5,2113.7,,
1/4/1962,1895.2,2122.7,,
1/5/1962,1910.0,2123.7,,
1/6/1962,1900.2,2126.4,,
1/7/1962,1905.9,2134.9,,
1/8/1962,1911.9,2136.4,,
1/9/1962,1932.9,2136.9,,
1/10/1962,1923.5,2145.5,,
1/11/1962,1949.5,2153.1,,
1/12/1962,1960.1,2162.2,,
1/1/1963,1958.8,2178.1,,
1/2/1963,1951.8,2164.1,,
1/3/1963,1961.6,2172.5,,
1/4/1963,1968.8,2182.9,,
1/5/1963,1970.2,2190.2,,
1/6/1963,1989.5,2203.3,,
1/7/1963,1999.4,2205.0,,
1/8/1963,2006.8,2214.7,,
1/9/1963,2003.0,2230.7,,
1/10/1963,2001.7,2245.0,,
1/11/1963,2016.6,2248.7,,
1/12/1963,2040.6,2266.7,,
1/1/1964,2047.4,2276.1,,
1/2/1964,2062.0,2282.6,,
1/3/1964,2068.9,2337.1,,
1/4/1964,2072.4,2349.7,,
1/5/1964,2101.1,2362.4,,
1/6/1964,2113.3,2371.2,,
1/7/1964,2128.4,2378.8,,
1/8/1964,2141.7,2393.4,,
1/9/1964,2132.8,2402.5,,
1/10/1964,2146.3,2402.6,,
1/11/1964,2127.0,2415.6,,
1/12/1964,2147.1,2439.3,,
1/1/1965,2162.7,2444.4,,
1/2/1965,2196.8,2443.8,,
1/3/1965,2203.7,2450.9,,
1/4/1965,2219.5,2454.7,,
1/5/1965,2217.7,2481.2,,
1/6/1965,2199.0,2483.9,,
1/7/1965,2226.7,2509.9,,
1/8/1965,2242.9,2522.0,,
1/9/1965,2280.9,2592.6,,
1/10/1965,2312.3,2577.1,,
1/11/1965,2311.3,2595.8,,
1/12/1965,2315.8,2605.7,,
1/1/1966,2330.5,2609.1,,
1/2/1966,2346.4,2617.4,,
1/3/1966,2364.4,2625.2,,
1/4/1966,2366.4,2616.9,,
1/5/1966,2344.0,2620.9,,
1/6/1966,2350.4,2632.5,,
1/7/1966,2370.5,2642.7,,
1/8/1966,2374.3,2656.3,,
1/9/1966,2396.4,2670.7,,
1/10/1966,2385.5,2680.5,,
1/11/1966,2390.6,2691.9,,
1/12/1966,2394.7,2688.6,,
1/1/1967,2405.9,2717.3,,
1/2/1967,2397.1,2721.7,,
1/3/1967,2409.6,2742.7,,
1/4/1967,2432.4,2742.3,,
1/5/1967,2431.9,2747.9,,
1/6/1967,2446.4,2758.5,,
1/7/1967,2437.8,2770.5,,
1/8/1967,2445.2,2779.3,,
1/9/1967,2465.6,2777.7,,
1/10/1967,2442.4,2776.4,,
1/11/1967,2459.3,2792.7,,
1/12/1967,2491.8,2819.5,,
1/1/1968,2507.8,2822.2,,
1/2/1968,2510.3,2842.7,,
1/3/1968,2552.3,2869.6,,
1/4/1968,2543.2,2881.4,,
1/5/1968,2560.6,2892.0,,
1/6/1968,2582.5,2903.6,,
1/7/1968,2606.6,2897.6,,
1/8/1968,2614.2,2899.4,,
1/9/1968,2610.1,2897.1,,
1/10/1968,2614.9,2907.9,,
1/11/1968,2629.1,2917.5,,
1/12/1968,2622.9,2926.1,,
1/1/1969,2644.5,2921.2,,
1/2/1969,2661.2,2920.5,,
1/3/1969,2649.2,2924.3,,
1/4/1969,2660.1,2922.9,,
1/5/1969,2677.8,2955.9,,
1/6/1969,2667.4,2975.6,,
1/7/1969,2664.3,2997.2,,
1/8/1969,2688.2,3016.2,,
1/9/1969,2692.0,3021.3,,
1/10/1969,2705.9,3030.6,,
