Year,P,R (in %)
1975,25.54490986,9.038333333
1976,27.40669097,8.863333333
1977,30.48179499,8.841666667
1978,34.70104395,9.631666667
1979,39.14987511,11.1925
1980,42.76916266,13.76916667
1981,45.17065633,16.63333333
1982,46.25402743,16.09
1983,47.81711465,13.22833333
1984,50.26898622,13.87
1985,53.02749979,12.42416667
1986,56.78244166,10.18166667
1987,61.07399586,10.195
1988,64.95038934,10.33416667
1989,69.19898728,10.32416667
1990,71.78293559,10.12916667
1991,72.07011562,9.25
1992,73.32551662,8.4
1993,74.03169762,7.325708333
1994,75.89646301,8.355708333
1995,77.13592657,7.954041667
1996,78.93466911,7.804125
1997,81.12156452,7.595791667
1998,84.75024548,6.946291667
1999,90.39831678,7.428333333
2000,97.56598195,8.063125
2001,104.0765852,6.9725
2002,112.6558745,6.5375
2003,122.5243244,5.819166667
2004,135.9284758,5.839166667
2005,151.5319031,5.865833333
2006,160.2828602,6.410833333
2007,158.0552114,6.3425
2008,143.3864958,6.038333333
2009,131.4889401,5.041666667
2010,128.1950465,4.691666667
2011,120.7598627,4.4575
