date,cpi,nomrate
1/1/1959,29.01,2.82
1/2/1959,29,2.7
1/3/1959,28.97,2.8
1/4/1959,28.98,2.95
1/5/1959,29.04,2.84
1/6/1959,29.11,3.21
1/7/1959,29.15,3.2
1/8/1959,29.18,3.38
1/9/1959,29.25,4.04
1/10/1959,29.35,4.05
1/11/1959,29.35,4.15
1/12/1959,29.41,4.49
1/1/1960,29.37,4.35
1/2/1960,29.41,3.96
1/3/1960,29.41,3.31
1/4/1960,29.54,3.23
1/5/1960,29.57,3.29
1/6/1960,29.61,2.46
1/7/1960,29.55,2.3
1/8/1960,29.61,2.3
1/9/1960,29.61,2.48
1/10/1960,29.75,2.3
1/11/1960,29.78,2.37
1/12/1960,29.81,2.25
1/1/1961,29.84,2.24
1/2/1961,29.84,2.42
1/3/1961,29.84,2.39
1/4/1961,29.81,2.29
1/5/1961,29.84,2.29
1/6/1961,29.84,2.33
1/7/1961,29.92,2.24
1/8/1961,29.94,2.39
1/9/1961,29.98,2.28
1/10/1961,29.98,2.3
1/11/1961,29.98,2.48
1/12/1961,30.01,2.6
1/1/1962,30.04,2.72
1/2/1962,30.11,2.73
1/3/1962,30.17,2.72
1/4/1962,30.21,2.73
1/5/1962,30.24,2.69
1/6/1962,30.21,2.73
1/7/1962,30.22,2.92
1/8/1962,30.28,2.82
1/9/1962,30.42,2.78
1/10/1962,30.38,2.74
1/11/1962,30.38,2.83
1/12/1962,30.38,2.87
1/1/1963,30.44,2.91
1/2/1963,30.48,2.92
1/3/1963,30.51,2.89
1/4/1963,30.48,2.9
1/5/1963,30.51,2.93
1/6/1963,30.61,2.99
1/7/1963,30.69,3.18
1/8/1963,30.75,3.32
1/9/1963,30.72,3.38
1/10/1963,30.75,3.45
1/11/1963,30.78,3.52
1/12/1963,30.88,3.52
1/1/1964,30.94,3.52
1/2/1964,30.91,3.53
1/3/1964,30.94,3.54
1/4/1964,30.95,3.47
1/5/1964,30.98,3.48
1/6/1964,31.01,3.48
1/7/1964,31.02,3.46
1/8/1964,31.05,3.5
1/9/1964,31.08,3.53
1/10/1964,31.12,3.57
1/11/1964,31.21,3.64
1/12/1964,31.25,3.84
1/1/1965,31.28,3.81
1/2/1965,31.28,3.93
1/3/1965,31.31,3.93
1/4/1965,31.38,3.93
1/5/1965,31.48,3.89
1/6/1965,31.61,3.8
1/7/1965,31.58,3.84
1/8/1965,31.55,3.84
1/9/1965,31.62,3.92
1/10/1965,31.65,4.03
1/11/1965,31.75,4.09
1/12/1965,31.85,4.38
1/1/1966,31.88,4.59
1/2/1966,32.08,4.65
1/3/1966,32.18,4.59
1/4/1966,32.28,4.62
1/5/1966,32.35,4.64
1/6/1966,32.38,4.5
