OBS,P,R (in %)
1980Q2,42.49870811,14.43
1980Q3,43.27341056,12.65
1980Q4,43.78585671,14.26333333
1981Q1,44.35694506,15.14333333
1981Q2,45.07843751,16.22666667
1981Q3,45.55760557,17.42333333
1981Q4,45.68963719,17.74
1982Q1,46.22404446,17.41333333
1982Q2,46.50238055,16.75666667
1982Q3,46.12786061,16.17333333
1982Q4,46.16182409,14.01666667
1983Q1,46.75372748,13.03
1983Q2,47.57467345,12.76
1983Q3,48.26116521,13.65666667
1983Q4,48.67889244,13.46666667
1984Q1,49.14784984,13.33
1984Q2,49.98702802,14.00333333
1984Q3,50.80830114,14.49666667
1984Q4,51.13276586,13.65
1985Q1,51.77386481,13.05666667
1985Q2,52.52647754,12.77666667
1985Q3,53.58820025,12.13666667
1985Q4,54.22145658,11.72666667
1986Q1,54.93270861,10.56
1986Q2,56.26912804,10.26
1986Q3,57.56170682,10.24
1986Q4,58.36622316,9.666666667
1987Q1,59.38520852,9.106666667
1987Q2,60.7176884,10.32333333
1987Q3,61.80410292,10.5
1987Q4,62.38898361,10.85
1988Q1,63.18019767,10.06666667
1988Q2,64.55930977,10.37333333
1988Q3,65.63940889,10.50333333
1988Q4,66.42264103,10.39333333
1989Q1,67.37966477,10.80333333
1989Q2,68.68567447,10.67333333
1989Q3,70.00034961,10
1989Q4,70.73026027,9.82
1990Q1,71.25881069,10.12333333
1990Q2,71.86316259,10.33666667
1990Q3,72.2520868,10.10666667
1990Q4,71.75768229,9.95
1991Q1,71.6500968,9.503333333
1991Q2,72.00929308,9.53
1991Q3,72.1838232,9.276666667
1991Q4,72.4372494,8.69
1992Q1,72.87563115,8.71
1992Q2,73.1165198,8.676666667
1992Q3,73.53784919,8.01
1992Q4,73.77206636,8.203333333
1993Q1,73.18540409,7.723333333
1993Q2,74.00058799,7.449166667
1993Q3,74.55417356,7.076666667
1993Q4,74.38662487,7.053666667
1994Q1,74.46978182,7.2975
1994Q2,75.89261013,8.438666667
1994Q3,76.68462869,8.586666667
1994Q4,76.53883139,9.1
1995Q1,76.52978396,8.813333333
1995Q2,77.05239756,7.95
1995Q3,77.60700856,7.702
1995Q4,77.35451621,7.350833333
1996Q1,77.40648946,7.243
1996Q2,79.01612726,8.105
1996Q3,79.79633984,8.158333333
1996Q4,79.51971988,7.710166667
1997Q1,79.60521795,7.7905
1997Q2,81.15189006,7.9255
1997Q3,81.79618143,7.469166667
1997Q4,81.93296864,7.198
1998Q1,82.37307881,7.054666667
1998Q2,84.44806363,7.093833333
1998Q3,85.84294883,6.865666667
1998Q4,86.33689063,6.771
1999Q1,87.36304083,6.8775
1999Q2,89.69131895,7.203666667
1999Q3,91.81653393,7.799
1999Q4,92.72237342,7.833166667
2000Q1,94.31244258,8.26
2000Q2,97.13480412,8.32
2000Q3,99.03650817,8.029166667
2000Q4,99.78017292,7.643333333
2001Q1,100.7297055,7.01
2001Q2,103.5139278,7.13
2001Q3,105.697045,6.966666667
2001Q4,106.3656626,6.783333333
2002Q1,108.0989923,6.966666667
2002Q2,111.6805693,6.816666667
2002Q3,114.6503507,6.29
2002Q4,116.1935856,6.076666667
2003Q1,117.7397531,5.836666667
2003Q2,121.055695,5.506666667
2003Q3,124.6052546,6.013333333
2003Q4,126.6965949,5.92
2004Q1,128.8531735,5.6
2004Q2,134.4085412,6.13
2004Q3,139.2700734,5.893333333
2004Q4,141.1821153,5.733333333
2005Q1,144.0204551,5.756666667
2005Q2,150.1093463,5.72
2005Q3,155.043986,5.763333333
2005Q4,156.9538248,6.223333333
2006Q1,158.1876674,6.24
2006Q2,161.5301966,6.596666667
2006Q3,161.9802576,6.56
2006Q4,159.4333192,6.246666667
2007Q1,158.9129875,6.223333333
2007Q2,160.8376131,6.366666667
2007Q3,159.2141798,6.55
2007Q4,153.2560651,6.23
2008Q1,147.1135469,5.883333333
2008Q2,146.0767972,6.093333333
2008Q3,143.998766,6.316666667
2008Q4,136.3568729,5.86
2009Q1,130.1616815,5.06
2009Q2,131.4920516,5.03
2009Q3,133.0723013,5.156666667
2009Q4,131.229726,4.92
2010Q1,129.2806158,4.996666667
2010Q2,131.0156671,4.91
2010Q3,128.3666493,4.446666667
2010Q4,124.1172537,4.413333333
2011Q1,120.9242489,4.85
2011Q2,122.1764299,4.663333333
2011Q3,121.418449,4.31
