Date,Adj Close Price-AMEX,,Date,Adj Close Price-SP500
27/12/1995,546.4,,22/1/1990,330.38
28/12/1995,546.18,,23/1/1990,331.61
29/12/1995,550,,24/1/1990,330.26
2/1/1996,553.12,,25/1/1990,326.08
3/1/1996,554.35,,26/1/1990,325.8
4/1/1996,550.59,,29/1/1990,325.2
5/1/1996,546.08,,30/1/1990,322.98
8/1/1996,548.44,,31/1/1990,329.08
9/1/1996,543.77,,1/2/1990,328.79
10/1/1996,537.26,,2/2/1990,330.92
11/1/1996,538.82,,5/2/1990,331.85
12/1/1996,536.24,,6/2/1990,329.66
15/1/1996,534.14,,7/2/1990,333.75
16/1/1996,532.96,,8/2/1990,332.96
17/1/1996,534.36,,9/2/1990,333.62
18/1/1996,529.84,,12/2/1990,330.08
19/1/1996,531.35,,13/2/1990,331.02
22/1/1996,532.42,,14/2/1990,332.01
23/1/1996,534.2,,15/2/1990,334.89
24/1/1996,538.39,,16/2/1990,332.72
25/1/1996,542.53,,20/2/1990,327.99
26/1/1996,546.24,,21/2/1990,327.67
29/1/1996,548.5,,22/2/1990,325.7
30/1/1996,551.72,,23/2/1990,324.15
31/1/1996,554.51,,26/2/1990,328.67
1/2/1996,556.23,,27/2/1990,330.26
2/2/1996,556.34,,28/2/1990,331.89
5/2/1996,558.38,,1/3/1990,332.74
6/2/1996,560.96,,2/3/1990,335.54
7/2/1996,563.71,,5/3/1990,333.74
8/2/1996,566.34,,6/3/1990,337.93
9/2/1996,565.48,,7/3/1990,336.95
12/2/1996,563.97,,8/3/1990,340.27
13/2/1996,562.15,,9/3/1990,337.93
14/2/1996,562.89,,12/3/1990,338.67
15/2/1996,562.69,,13/3/1990,336
16/2/1996,563.97,,14/3/1990,336.87
20/2/1996,561.14,,15/3/1990,338.07
21/2/1996,568.08,,16/3/1990,341.91
22/2/1996,573.19,,19/3/1990,343.53
23/2/1996,572.25,,20/3/1990,341.57
26/2/1996,568.58,,21/3/1990,339.74
27/2/1996,566.91,,22/3/1990,335.69
28/2/1996,569.52,,23/3/1990,337.22
29/2/1996,564.61,,26/3/1990,337.63
1/3/1996,565.97,,27/3/1990,341.5
4/3/1996,569.77,,28/3/1990,342
5/3/1996,571.99,,29/3/1990,340.79
6/3/1996,572.64,,30/3/1990,339.94
7/3/1996,573.2,,2/4/1990,338.7
8/3/1996,560.86,,3/4/1990,343.64
11/3/1996,563.43,,4/4/1990,341.09
12/3/1996,561.11,,5/4/1990,340.73
13/3/1996,562.58,,6/4/1990,340.08
14/3/1996,563.97,,9/4/1990,341.37
15/3/1996,563.71,,10/4/1990,342.07
18/3/1996,567.04,,11/4/1990,341.92
19/3/1996,566.66,,12/4/1990,344.34
20/3/1996,569.3,,16/4/1990,344.74
21/3/1996,570.42,,17/4/1990,344.68
22/3/1996,571.66,,18/4/1990,340.72
25/3/1996,570.1,,19/4/1990,338.09
26/3/1996,570.91,,20/4/1990,335.12
27/3/1996,570.32,,23/4/1990,331.05
28/3/1996,568.44,,24/4/1990,330.36
29/3/1996,573.76,,25/4/1990,332.03
1/4/1996,574.89,,26/4/1990,332.92
2/4/1996,574.94,,27/4/1990,329.11
3/4/1996,576.61,,30/4/1990,330.8
4/4/1996,579.67,,1/5/1990,332.25
8/4/1996,572.84,,2/5/1990,334.48
9/4/1996,575.21,,3/5/1990,335.57
10/4/1996,572.47,,4/5/1990,338.39
11/4/1996,572.79,,7/5/1990,340.53
