date,Unemployed (in thousands)
1/1/1989,6682
1/2/1989,6359
1/3/1989,6205
1/4/1989,6468
1/5/1989,6375
1/6/1989,6577
1/7/1989,6495
1/8/1989,6511
1/9/1989,6590
1/10/1989,6630
1/11/1989,6725
1/12/1989,6667
1/1/1990,6752
1/2/1990,6651
1/3/1990,6598
1/4/1990,6797
1/5/1990,6742
1/6/1990,6590
1/7/1990,6922
1/8/1990,7188
1/9/1990,7368
1/10/1990,7459
1/11/1990,7764
1/12/1990,7901
1/1/1991,8015
1/2/1991,8265
1/3/1991,8586
1/4/1991,8439
1/5/1991,8736
1/6/1991,8692
1/7/1991,8586
1/8/1991,8666
1/9/1991,8722
1/10/1991,8842
1/11/1991,8931
1/12/1991,9198
1/1/1992,9283
1/2/1992,9454
1/3/1992,9460
1/4/1992,9415
1/5/1992,9744
1/6/1992,10040
1/7/1992,9850
1/8/1992,9787
1/9/1992,9781
1/10/1992,9398
1/11/1992,9565
1/12/1992,9557
1/1/1993,9325
1/2/1993,9183
1/3/1993,9056
1/4/1993,9110
1/5/1993,9149
1/6/1993,9121
1/7/1993,8930
1/8/1993,8763
1/9/1993,8714
1/10/1993,8750
1/11/1993,8542
1/12/1993,8477
1/1/1994,8630
1/2/1994,8583
1/3/1994,8470
1/4/1994,8331
1/5/1994,7915
1/6/1994,7927
1/7/1994,7946
1/8/1994,7933
1/9/1994,7734
1/10/1994,7632
1/11/1994,7375
1/12/1994,7230
1/1/1995,7375
1/2/1995,7187
1/3/1995,7153
1/4/1995,7645
1/5/1995,7430
1/6/1995,7427
1/7/1995,7527
1/8/1995,7484
1/9/1995,7478
1/10/1995,7328
1/11/1995,7426
1/12/1995,7423
1/1/1996,7491
1/2/1996,7313
1/3/1996,7318
1/4/1996,7415
1/5/1996,7423
1/6/1996,7095
1/7/1996,7337
1/8/1996,6882
1/9/1996,6979
1/10/1996,7031
1/11/1996,7236
1/12/1996,7253
1/1/1997,7158
1/2/1997,7102
1/3/1997,7000
1/4/1997,6873
1/5/1997,6655
1/6/1997,6799
1/7/1997,6655
1/8/1997,6608
1/9/1997,6656
1/10/1997,6454
1/11/1997,6308
1/12/1997,6476
1/1/1998,6368
1/2/1998,6306
1/3/1998,6422
1/4/1998,5941
1/5/1998,6047
1/6/1998,6212
1/7/1998,6259
1/8/1998,6179
1/9/1998,6300
1/10/1998,6280
1/11/1998,6100
1/12/1998,6032
1/1/1999,5976
1/2/1999,6111
1/3/1999,5783
1/4/1999,6004
1/5/1999,5796
1/6/1999,5951
1/7/1999,6025
1/8/1999,5838
1/9/1999,5915
1/10/1999,5778
1/11/1999,5716
1/12/1999,5653
1/1/2000,5708
1/2/2000,5858
1/3/2000,5733
1/4/2000,5481
1/5/2000,5758
1/6/2000,5651
1/7/2000,5747
1/8/2000,5853
1/9/2000,5625
1/10/2000,5534
1/11/2000,5639
1/12/2000,5634
1/1/2001,6023
1/2/2001,6089
1/3/2001,6141
1/4/2001,6271
1/5/2001,6226
1/6/2001,6484
1/7/2001,6583
1/8/2001,7042
1/9/2001,7142
1/10/2001,7694
1/11/2001,8003
1/12/2001,8258
1/1/2002,8182
1/2/2002,8215
1/3/2002,8304
1/4/2002,8599
1/5/2002,8399
1/6/2002,8393
1/7/2002,8390
1/8/2002,8304
1/9/2002,8251
1/10/2002,8307
1/11/2002,8520
1/12/2002,8640
1/1/2003,8520
1/2/2003,8618
1/3/2003,8588
1/4/2003,8842
1/5/2003,8957
1/6/2003,9266
1/7/2003,9011
1/8/2003,8896
1/9/2003,8921
1/10/2003,8732
1/11/2003,8576
1/12/2003,8317
1/1/2004,8370
1/2/2004,8167
1/3/2004,8491
1/4/2004,8170
1/5/2004,8212
1/6/2004,8286
1/7/2004,8136
1/8/2004,7990
1/9/2004,7927
1/10/2004,8061
1/11/2004,7932
1/12/2004,7934
1/1/2005,7784
1/2/2005,7980
1/3/2005,7737
1/4/2005,7672
1/5/2005,7651
1/6/2005,7524
1/7/2005,7406
1/8/2005,7345
1/9/2005,7553
1/10/2005,7453
1/11/2005,7566
1/12/2005,7279
1/1/2006,7064
1/2/2006,7184
1/3/2006,7072
1/4/2006,7120
1/5/2006,6980
1/6/2006,7001
1/7/2006,7175
1/8/2006,7091
1/9/2006,6847
1/10/2006,6727
1/11/2006,6872
1/12/2006,6762
1/1/2007,7116
1/2/2007,6927
1/3/2007,6731
1/4/2007,6850
1/5/2007,6766
1/6/2007,6979
1/7/2007,7149
1/8/2007,7067
1/9/2007,7170
1/10/2007,7237
1/11/2007,7240
1/12/2007,7645
1/1/2008,7678
1/2/2008,7491
1/3/2008,7816
1/4/2008,7631
1/5/2008,8395
1/6/2008,8578
1/7/2008,8950
1/8/2008,9450
1/9/2008,9501
1/10/2008,10083
1/11/2008,10544
1/12/2008,11299
1/1/2009,12049
1/2/2009,12860
1/3/2009,13389
1/4/2009,13796
1/5/2009,14505
1/6/2009,14727
1/7/2009,14646
1/8/2009,14861
1/9/2009,15012
1/10/2009,15421
1/11/2009,15227
1/12/2009,15124
1/1/2010,14953
1/2/2010,15039
1/3/2010,15128
1/4/2010,15221
1/5/2010,14876
1/6/2010,14517
1/7/2010,14609
1/8/2010,14735
1/9/2010,14574
1/10/2010,14636
1/11/2010,15104
1/12/2010,14393
1/1/2011,13919
1/2/2011,13751
1/3/2011,13628
1/4/2011,13792
1/5/2011,13892
1/6/2011,14024
1/7/2011,13908
1/8/2011,13920
1/9/2011,13897
1/10/2011,13759
1/11/2011,13323
1/12/2011,13097
1/1/2012,12758
1/2/2012,12806
1/3/2012,12673
1/4/2012,12500
1/5/2012,12720
1/6/2012,12749
1/7/2012,12794
