date,housing CPI,housing Inflation (%),transportation CPI,transportation Inflation (%)
1/1/1967,30.8,,33.3,
1/1/1968,32.0,3.896103896,34.3,3.003003003
1/1/1969,34.0,6.25,35.7,4.081632653
1/1/1970,36.4,7.058823529,37.5,5.042016807
1/1/1971,38.0,4.395604396,39.5,5.333333333
1/1/1972,39.4,3.684210526,39.9,1.012658228
1/1/1973,41.2,4.568527919,41.2,3.258145363
1/1/1974,45.8,11.16504854,45.8,11.16504854
1/1/1975,50.7,10.69868996,50.1,9.388646288
1/1/1976,53.8,6.114398422,55.1,9.98003992
1/1/1977,57.4,6.691449814,59.0,7.078039927
1/1/1978,62.4,8.710801394,61.7,4.576271186
1/1/1979,70.1,12.33974359,70.5,14.26256078
1/1/1980,81.1,15.69186876,83.1,17.87234043
1/1/1981,90.4,11.46732429,93.2,12.15403129
1/1/1982,96.9,7.190265487,97.0,4.077253219
1/1/1983,99.5,2.683178535,99.3,2.371134021
1/1/1984,103.6,4.120603015,103.7,4.43101712
1/1/1985,107.7,3.957528958,106.4,2.603664417
1/1/1986,110.9,2.971216342,102.3,-3.853383459
1/1/1987,114.2,2.975653742,105.4,3.03030303
1/1/1988,118.5,3.765323993,108.7,3.130929791
1/1/1989,123.0,3.797468354,114.1,4.967801288
1/1/1990,128.5,4.471544715,120.5,5.609114812
1/1/1991,133.6,3.968871595,123.8,2.738589212
1/1/1992,137.5,2.919161677,126.5,2.180936995
1/1/1993,141.2,2.690909091,130.4,3.083003953
1/1/1994,144.8,2.549575071,134.3,2.990797546
1/1/1995,148.5,2.555248619,139.1,3.574087863
1/1/1996,152.8,2.895622896,143.0,2.803738318
1/1/1997,156.8,2.617801047,144.3,0.909090909
1/1/1998,160.4,2.295918367,141.6,-1.871101871
1/1/1999,163.9,2.182044888,144.4,1.97740113
1/1/2000,169.6,3.477730323,153.3,6.163434903
1/1/2001,176.4,4.009433962,154.3,0.652315721
1/1/2002,180.3,2.210884354,152.9,-0.907323396
1/1/2003,184.8,2.495840266,157.6,3.073904513
1/1/2004,189.5,2.543290043,163.1,3.489847716
1/1/2005,195.7,3.27176781,173.9,6.621704476
1/1/2006,203.2,3.832396525,180.9,4.025301898
1/1/2007,209.586,3.142716535,184.682,2.090657822
1/1/2008,216.264,3.186281526,195.549,5.884168463
1/1/2009,217.057,0.366681463,179.252,-8.333972559
1/1/2010,216.256,-0.36902749,193.396,7.890567469
1/1/2011,219.102,1.31603285,212.366,9.808889532
