date,food CPI,food Inflation (%),Gas CPI,Gas Inflation (%)
1/1/1957,28.9,,23.8,
1/1/1958,30.2,4.498269896,23.5,-1.260504202
1/1/1959,29.7,-1.655629139,23.7,0.85106383
1/1/1960,30.0,1.01010101,24.4,2.953586498
1/1/1961,30.4,1.333333333,24.1,-1.229508197
1/1/1962,30.6,0.657894737,24.3,0.829875519
1/1/1963,31.1,1.633986928,24.2,-0.411522634
1/1/1964,31.5,1.286173633,24.1,-0.41322314
1/1/1965,32.2,2.222222222,25.1,4.149377593
1/1/1966,33.8,4.968944099,25.6,1.992031873
1/1/1967,34.1,0.887573964,26.4,3.125
1/1/1968,35.3,3.519061584,26.8,1.515151515
1/1/1969,37.1,5.099150142,27.7,3.358208955
1/1/1970,39.2,5.660377358,27.9,0.722021661
1/1/1971,40.4,3.06122449,28.1,0.716845878
1/1/1972,42.1,4.207920792,28.4,1.067615658
1/1/1973,48.2,14.48931116,31.2,9.85915493
1/1/1974,55.1,14.3153527,42.2,35.25641026
1/1/1975,59.8,8.529945554,45.1,6.872037915
1/1/1976,61.6,3.010033445,47.0,4.21286031
1/1/1977,65.5,6.331168831,49.7,5.744680851
1/1/1978,72.0,9.923664122,51.8,4.225352113
1/1/1979,79.9,10.97222222,70.2,35.52123552
1/1/1980,86.8,8.635794743,97.5,38.88888889
1/1/1981,93.6,7.834101382,108.5,11.28205128
1/1/1982,97.4,4.05982906,102.8,-5.253456221
1/1/1983,99.4,2.05338809,99.4,-3.307392996
1/1/1984,103.2,3.822937626,97.8,-1.609657948
1/1/1985,105.6,2.325581395,98.6,0.81799591
1/1/1986,109.0,3.21969697,77.0,-21.90669371
1/1/1987,113.5,4.128440367,80.1,4.025974026
1/1/1988,118.2,4.140969163,80.8,0.873907615
1/1/1989,125.1,5.837563452,88.5,9.52970297
1/1/1990,132.4,5.835331735,101.0,14.12429379
1/1/1991,136.3,2.945619335,99.2,-1.782178218
1/1/1992,137.9,1.173881145,99.0,-0.201612903
1/1/1993,140.9,2.175489485,97.7,-1.313131313
1/1/1994,144.3,2.413058907,98.2,0.511770727
1/1/1995,148.4,2.841302841,99.8,1.629327902
1/1/1996,153.3,3.301886792,105.9,6.112224449
1/1/1997,157.3,2.609262883,105.8,-0.094428706
1/1/1998,160.7,2.161474889,91.6,-13.42155009
1/1/1999,164.1,2.115743622,100.1,9.279475983
1/1/2000,167.8,2.25472273,128.6,28.47152847
1/1/2001,173.1,3.15852205,124.0,-3.576982893
1/1/2002,176.2,1.790872328,116.0,-6.451612903
1/1/2003,180.0,2.156640182,135.1,16.46551724
1/1/2004,186.2,3.444444444,159.7,18.20873427
1/1/2005,190.7,2.416756176,194.7,21.91609267
1/1/2006,195.2,2.35972732,219.9,12.94298921
1/1/2007,202.916,3.952868852,237.959,8.212369259
1/1/2008,214.106,5.514597173,277.457,16.59865775
1/1/2009,217.955,1.797707678,201.555,-27.35631107
1/1/2010,219.625,0.766213209,238.594,18.37662177
1/1/2011,227.842,3.741377348,301.694,26.44659966
