DATE,CUUR0000SA0R
1/1/1950,424.4
1/2/1950,425.6
1/3/1950,423.8
1/4/1950,423.2
1/5/1950,421.4
1/6/1950,419.3
1/7/1950,415.1
1/8/1950,411.8
1/9/1950,408.8
1/10/1950,406.7
1/11/1950,404.9
1/12/1950,399.5
1/1/1951,393.2
1/2/1951,388.8
1/3/1951,387.3
1/4/1951,386.7
1/5/1951,385.2
1/6/1951,385.8
1/7/1951,385.2
1/8/1951,385.2
1/9/1951,382.8
1/10/1951,380.7
1/11/1951,378.9
1/12/1951,377.4
1/1/1952,377.4
1/2/1952,379.8
1/3/1952,379.8
1/4/1952,378.3
1/5/1952,378
1/6/1952,376.8
1/7/1952,374.1
1/8/1952,373.5
1/9/1952,374.1
1/10/1952,373.5
1/11/1952,373.5
1/12/1952,374.1
1/1/1953,375
1/2/1953,376.8
1/3/1953,375.9
1/4/1953,375.6
1/5/1953,374.7
1/6/1953,373.2
1/7/1953,372.3
1/8/1953,371.4
1/9/1953,370.8
1/10/1953,369.9
1/11/1953,371.4
1/12/1953,371.7
1/1/1954,370.8
1/2/1954,371.4
1/3/1954,371.7
1/4/1954,372.6
1/5/1954,371.4
1/6/1954,370.8
1/7/1954,370.8
1/8/1954,371.4
1/9/1954,372.3
1/10/1954,373.2
1/11/1954,372.6
1/12/1954,373.5
1/1/1955,373.5
1/2/1955,373.5
1/3/1955,373.5
1/4/1955,373.5
1/5/1955,373.5
1/6/1955,373.5
1/7/1955,372.3
1/8/1955,373.2
1/9/1955,371.7
1/10/1955,371.7
1/11/1955,371.4
1/12/1955,372.3
1/1/1956,372.6
1/2/1956,372.6
1/3/1956,372.3
1/4/1956,371.7
1/5/1956,369.9
1/6/1956,367.8
1/7/1956,365.1
1/8/1956,365.4
1/9/1956,365.1
1/10/1956,362.7
1/11/1956,362.7
1/12/1956,361.8
1/1/1957,361.5
1/2/1957,360
1/3/1957,359.1
1/4/1957,357.9
1/5/1957,357
1/6/1957,354.9
1/7/1957,353.4
1/8/1957,352.8
1/9/1957,352.5
1/10/1957,352.5
1/11/1957,351.4
1/12/1957,351.4
1/1/1958,349.3
1/2/1958,349
1/3/1958,346.3
1/4/1958,345.7
1/5/1958,345.7
1/6/1958,345.1
1/7/1958,344.8
1/8/1958,345.1
1/9/1958,345.1
1/10/1958,345.1
1/11/1958,344.8
1/12/1958,345.1
1/1/1959,344.8
1/2/1959,345.1
1/3/1959,345.1
1/4/1959,344.8
1/5/1959,344.5
1/6/1959,342.7
1/7/1959,342.1
1/8/1959,342.4
1/9/1959,341.2
1/10/1959,340
1/11/1959,340
1/12/1959,340
1/1/1960,340.6
1/2/1960,340
1/3/1960,340
1/4/1960,338.2
1/5/1960,338.2
1/6/1960,337.3
1/7/1960,337.3
1/8/1960,337.3
1/9/1960,337
1/10/1960,335.5
1/11/1960,335.2
1/12/1960,335.2
1/1/1961,335.2
1/2/1961,335.2
1/3/1961,335.2
1/4/1961,335.2
1/5/1961,335.2
1/6/1961,334.9
1/7/1961,333.4
1/8/1961,333.7
1/9/1961,332.8
1/10/1961,332.8
1/11/1961,332.8
1/12/1961,332.8
1/1/1962,332.8
1/2/1962,332.2
1/3/1962,331.3
1/4/1962,330.7
1/5/1962,330.7
1/6/1962,330.7
1/7/1962,330.1
1/8/1962,330.1
1/9/1962,328
1/10/1962,328.6
1/11/1962,328.6
1/12/1962,328.9
1/1/1963,328.6
1/2/1963,328
1/3/1963,327.7
1/4/1963,327.7
1/5/1963,327.7
1/6/1963,326.5
1/7/1963,325
1/8/1963,325
1/9/1963,325
1/10/1963,324.7
1/11/1963,324.1
1/12/1963,323.5
1/1/1964,323.2
1/2/1964,323.5
1/3/1964,323.2
1/4/1964,322.9
1/5/1964,322.9
1/6/1964,322
1/7/1964,321.4
1/8/1964,321.7
1/9/1964,321.1
1/10/1964,320.8
1/11/1964,320.2
1/12/1964,319.6
